"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"log_lambda[57]",1.20076277112809,0.19309360983644,0.815878595528806,1.06632132071556,1.2044749880168,1.33473213613355,1.56011026522159,1.00571550341885,480
"log_lambda[58]",-0.472035389575567,0.210316700890695,-0.888348949689307,-0.615461572139405,-0.465071513905352,-0.327506025088071,-0.0730978106674908,1.00310437627613,970
"log_lambda[59]",1.61316439698621,0.195446360718718,1.22037958785854,1.4821827483243,1.61391720447245,1.74943622493017,1.97608356025472,1.00893219731557,300
"log_lambda[60]",0.874422855227717,0.199276670799197,0.471906894117164,0.7413003441298,0.881599880365449,1.00845505592904,1.24724232669237,1.00559467919602,530
"log_lambda[61]",1.78153021589438,0.184074921342686,1.41038727747207,1.66475773551392,1.78449674441266,1.90057602573144,2.15548480340831,1.00688827131834,530
"log_lambda[62]",0.92704237870467,0.202903242396687,0.518617277407566,0.794155402354429,0.928015979915736,1.06456057223049,1.31430557285778,1.01119164286992,320
"log_lambda[63]",1.88855019220131,0.180041289640904,1.52376778932366,1.7683834477653,1.887459267875,2.00913505344828,2.23929235207599,1.00406300848536,860
"log_lambda[64]",1.97952197040704,0.180041289640904,1.61473956753934,1.85935522597398,1.97843104608195,2.10010683227511,2.33026413029898,1.00404338080816,860
"log_lambda[65]",1.7036516592925,0.193818557342715,1.31576396076011,1.57912575220392,1.70392323620049,1.8319190139785,2.08631176492981,1.00967397780418,400
"log_lambda[66]",2.09830134798157,0.180263746995419,1.75297472674739,1.9779301875672,2.09461559382265,2.21550126861259,2.46723635203106,1.00222411524489,1500
"log_lambda[67]",2.06300510210825,0.17971711828364,1.71611978459816,1.94419014983712,2.06092197282253,2.18198840477009,2.42672213332611,1.00454571799286,620
"log_lambda[68]",1.81497881716489,0.184971420118794,1.45455860277408,1.69443520980792,1.81613451342421,1.93546168339823,2.18449313348393,1.00158423122072,2300
"log_lambda[69]",2.59120824027351,0.184760974344823,2.2222089629102,2.46868783884811,2.58972563882017,2.7170433709171,2.94886917958502,1.01424220458912,230
