date,year,site,set_num,time_in,time_out,SthdW,SthdH,BullTrout,Chinook,Sucker,peamouth,whitefish,Bank,Comment,Mesh
2014-04-01,2014,Cable,1,12:15,12:30,9,0,5,0,3,0,0,North,N/A,"4 5/8"""
2014-04-08,2014,Purr,1,9:24,9:38,3,0,5,0,5,0,0,N/A,N/A,"4 5/8"""
2014-04-08,2014,Fernando,1,10:35,10:55,7,0,0,0,2,0,0,N/A,N/A,"4 5/8"""
2014-04-08,2014,Cable,1,11:37,12:07,5,0,0,0,0,0,0,North,N/A,"4 5/8"""
2014-04-14,2014,Purr,1,9:32,9:44,3,0,5,1,6,0,0,N/A,N/A,"4 5/8"""
2014-04-14,2014,Fernando,1,10:30,10:48,3,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2014-04-14,2014,Cable,1,11:20,11:38,7,0,4,0,8,0,0,North,N/A,"4 5/8"""
2014-04-21,2014,Purr,1,9:30,9:41,0,1,,,,,,,,4 5/8
2014-04-21,2014,Fernando,1,10:03,10:23,4,,,,,,,,,4 5/8
2014-04-21,2014,N. Cable,1,11:05,11:19,4,,,1,4,,,,,4 5/8
2015-02-17,2015,Purr,1,11:34,11:47,2,2,5,0,0,0,0,N/A,0,"4 5/16"""
2015-02-17,2015,Fernando,1,12:35,12:54,1,0,2,0,0,0,0,0,0,"4 5/16"""
2015-02-17,2015,N. Cable,1,13:35,13:45,0,0,0,0,0,0,0,N,0,"4 5/16"""
2015-02-17,2015,S. Cable,1,13:50,13:55,0,0,0,0,0,0,0,S,0,"4 5/16"""
2015-02-25,2015,Fernando,1,7:54,8:15,6,0,4,0,0,0,0,0,0,"4 5/16"""
2015-02-25,2015,Purr,1,9:05,9:30,6,0,2,0,0,0,0,0,1 wild mort,"4 5/16"""
2015-02-25,2015,N. Cable,2,9:25,9:40,12,1,10,0,0,0,0,0,0,"4 5/16"""
2015-02-25,2015,S. Cable,3,9:47,10:04,0,0,10,0,0,0,0,N,1 recap,"4 5/16"""
2015-02-25,2015,Fernando,1,10:34,10:57,7,1,3,0,0,0,0,0,0,"4 5/16"""
2015-02-25,2015,N. Cable,1,12:06,12:27,3,0,1,0,0,0,0,N,0,"4 5/16"""
2015-03-04,2015,Purr,1,9:22,9:41,7,0,4,0,0,0,0,0,0,"4 5/16"""
2015-03-04,2015,Fernando,1,10:48,11:05,6,0,0,0,0,0,0,0,"1 wild released, fair condition","4 5/16"""
2015-03-04,2015,N. Cable,1,12:10,12:24,9,0,3,0,0,0,0,0,N,"4 5/16"""
2015-03-13,2015,Purr,1,7:52,8:11,0,0,4,0,0,0,0,0,0,"4 5/16"""
2015-03-13,2015,Fernando,1,8:30,8:52,10,1,0,0,0,0,0,0,0,"4 5/16"""
2015-03-13,2015,N. Cable,1,10:00,10:23,5,0,2,0,0,0,0,N,0,"4 5/16"""
2015-03-18,2015,Purr,1,9:15,9:34,3,0,0,1,0,0,0,0,0,"4 5/16"""
2015-03-18,2015,Fernando,1,10:25,10:49,9,0,0,0,0,0,0,0,0,"4 5/16"""
2015-03-18,2015,N. Cable,1,11:57,12:18,2,0,0,0,0,0,0,N,0,"4 5/16"""
2015-03-19,2015,Purr,1,8:17,8:29,6,0,19,0,0,0,0,0,0,"4 5/16"""
2015-03-19,2015,Fernando,2,9:27,9:48,9,0,7,0,0,0,0,N,1 stlhs lost at boat,"4 5/16"""
2015-03-19,2015,N. Cable,1,10:53,11:02,7,0,3,0,0,0,0,0,0,"4 5/16"""
2015-03-23,2015,Purr,1,9:50,10:11,4,0,1,0,0,0,0,0,0,"4 5/16"""
2015-03-23,2015,Fernando,1,10:52,11:11,0,0,0,0,0,0,0,0,0,"4 5/16"""
2015-03-23,2015,N. Cable,1,11:29,11:47,3,0,1,0,0,0,0,N,0,"4 5/16"""
2015-03-24,2015,Purr,1,9:15,9:33,1,0,2,0,0,0,0,0,0,"4 5/16"""
2015-03-24,2015,Fernando,2,10:12,10:26,14,0,6,1,0,0,0,0,0,"4 5/16"""
2015-03-24,2015,N. Cable,3,11:45,11:55,13,0,3,0,0,0,0,N,"Twist, re-do","4 5/16"""
2015-03-31,2015,Purr,1,9:24,9:36,2,0,0,0,0,0,0,N,0,"4 5/16"""
2015-03-31,2015,Fernando,1,10:26,10:35,0,0,0,0,0,0,0,0,0,"4 5/16"""
2015-03-31,2015,N. Cable,1,10:53,11:05,4,0,0,0,0,0,0,0,0,"4 5/16"""
2015-04-06,2015,Purr,1,9:47,10:07,1,0,0,0,0,0,0,0,0,"4 5/16"""
2015-04-06,2015,Fernando,1,10:42,11:06,5,0,0,0,0,0,0,0,N,"4 5/16"""
2015-04-06,2015,N. Cable,1,12:00,12:17,5,0,3,0,0,0,0,0,N,"4 5/16"""
2015-04-14,2015,Purr,1,9:59,10:17,4,0,1,0,0,0,0,0,0,"4 5/16"""
2015-04-14,2015,N. Cable,1,10:12,10:27,3,0,0,0,0,0,0,N,0,"4 5/16"""
2015-04-14,2015,Fernando,1,11:14,11:33,2,0,0,0,0,0,0,0,0,"4 5/16"""
2016-02-26,2016,Purr,1,8:40,8:50,0,0,1,0,0,0,0,N,0,"4 5/16"""
2016-02-26,2016,Fernando,1,9:10,9:24,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-02-26,2016,N. Cable,1,9:42,9:53,1,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-02-26,2016,Spud top,1,11:40,11:52,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-02-26,2016,Spud top,2,11:59,12:12,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-02-26,2016,Spud bottom,1,12:13,12:25,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-02-26,2016,Spud bottom,2,12:26,12:37,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Purr,1,9:20,9:38,6,0,5,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Fernando,1,10:28,10:48,11,0,7,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Cable,1,11:58,12:19,2,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Spud top,1,13:36,13:52,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Spud top,2,13:56,14:12,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Spud bottom,1,14:13,14:22,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-17,2016,Spud bottom,2,14:24,14:34,0,0,0,0,0,0,0,N/A,0,"4 5/8"""
2016-03-22,2016,Purr,1,10:12,10:33,4,0,4,0,0,0,0,N/A,N/A,"4 5/8"""
2016-03-22,2016,Fernando,1,11:32,11:45,9,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-03-22,2016,Cable,1,11:55,12:11,5,0,2,0,0,0,0,N/A,N/A,"4 5/8"""
2016-03-28,2016,Purr,1,8:50,9:30,0,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-03-28,2016,Fernando,1,9:19,9:45,8,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-03-28,2016,Cable,1,10:46,11:00,11,0,1,0,0,0,0,N/A,N/A,"4 5/8"""
2016-03-28,2016,Entire spud ,1,13:21,13:41,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-03-28,2016,Entire spud ,2,13:43,14:09,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-06,2016,Purr,1,9:30,9:50,11,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-04-06,2016,Fernando,1,10:51,11:12,8,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-06,2016,Cable,1,12:40,12:52,14,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-13,2016,Entire spud ,1,9:06,9:29,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-13,2016,Entire spud ,2,9:35,9:59,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-13,2016,Purr,1,11:47,12:03,2,0,1,1,0,0,0,N/A,N/A,"4 5/8"""
2016-04-13,2016,Fernando,1,12:45,13:05,6,0,1,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-13,2016,Cable,1,14:54,15:08,5,0,1,1,0,0,0,N/A,N/A,"4 5/8"""
2016-04-18,2016,Purr,1,9:35,9:54,3,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-04-18,2016,Purr,2,10:02,10:21,3,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-18,2016,Fernando,1,11:03,11:21,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-18,2016,Fernando,2,11:27,11:48,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-18,2016,Cable,1,12:23,12:42,5,0,1,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-29,2016,Spud,1,9:19,9:34,0,0,0,0,0,0,0,N/A,"Snag, cut 2 fathoms off","4 5/8"""
2016-04-29,2016,Spud,2,9:52,10:05,0,0,0,0,0,0,0,N/A,Snag,"4 5/8"""
2016-04-29,2016,Spud (below snag),1,10:27,10:41,0,0,0,0,0,0,0,N/A,Seal picked Chinook,"4 5/8"""
2016-04-29,2016,Spud (below snag),2,10:44,10:59,0,0,0,0,0,0,0,N/A,N/A,"4 5/8"""
2016-04-29,2016,Purr,1,12:36,12:51,1,0,0,4,6,0,0,N/A,N/A,"4 5/8"""
2016-04-29,2016,Fernando,1,13:07,13:38,0,0,0,1,0,0,0,N/A,N/A,"4 5/8"""
2016-04-29,2016,Cable,1,14:06,14:20,6,0,1,0,0,0,0,N/A,N/A,"4 5/8"""
2017-02-02,2017,Purr,1,9:16,9:45,3,0,17,0,3,0,0,x,N/A,"4 5/8"""
2017-02-02,2017,Purr,2,10:03,10:27,1,0,4,0,1,0,0,x,N/A,"4 5/8"""
2017-02-02,2017,Fernando,1,11:14,11:42,1,0,2,0,0,0,0,x,N/A,"4 5/8"""
2017-02-02,2017,Fernando,2,11:49,12:16,1,0,0,0,1,0,0,x,N/A,"4 5/8"""
2017-02-02,2017,Cable,1,12:56,13:23,0,0,8,0,6,0,0,x,N/A,"4 5/8"""
2017-02-02,2017,Cable,2,13:27,13:48,1,0,5,0,4,0,0,x,N/A,"4 5/8"""
2017-02-09,2017,N. Cable,1,9:21,9:36,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-09,2017,N. Cable,2,9:39,9:53,3,0,4,0,0,0,0,x,N/A,"4 5/8"""
2017-02-09,2017,Fernando,1,10:41,11:05,0,0,2,0,0,0,0,x,N/A,"4 5/8"""
2017-02-09,2017,Fernando,2,11:11,11:41,0,0,3,0,0,0,0,x,N/A,"4 5/8"""
2017-02-09,2017,Purr,1,12:19,12:35,0,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Cable,1,9:11,9:27,6,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Cable,2,9:47,10:00,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Fernando,1,10:41,11:09,3,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Fernando,2,11:21,11:37,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Purr,1,12:20,12:32,5,0,6,0,0,0,0,x,N/A,"4 5/8"""
2017-02-14,2017,Purr,2,12:51,13:10,0,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Cable,1,9:16,9:29,3,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Cable,2,9:33,9:49,3,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Fernando,1,10:41,11:11,6,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Fernando,2,11:16,11:42,3,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Purr,1,12:45,12:59,3,0,4,0,0,0,0,x,N/A,"4 5/8"""
2017-02-23,2017,Purr,2,13:10,13:38,1,0,5,0,0,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Cable,1,9:11,9:27,3,1,0,0,2,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Cable,2,9:32,9:53,7,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Fernando,1,10:50,11:13,8,0,4,0,0,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Fernando,2,11:27,11:46,1,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Purr,1,12:37,13:05,6,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-01,2017,Purr,2,13:12,13:24,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,N. Cable,1,9:28,9:43,11,0,2,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,N. Cable,2,10:05,10:20,1,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,Fernando,1,11:38,12:04,10,1,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,Fernando,2,12:27,12:47,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,Purr,1,14:03,14:23,3,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-09,2017,Purr,2,14:33,14:53,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Cable,1,9:21,9:33,7,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Cable,2,9:38,9:49,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Fernando,1,10:39,11:08,11,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Fernando,2,11:27,11:54,6,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Purr,1,13:42,13:55,3,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-03-22,2017,Purr,2,13:59,14:12,3,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Cable,1,9:30,9:47,12,0,0,1,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Cable,2,10:02,10:14,0,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Fernando,1,11:15,11:38,7,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Fernando,2,11:43,12:02,1,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Purr,1,12:53,13:11,7,0,2,0,0,0,0,x,N/A,"4 5/8"""
2017-03-27,2017,Purr,2,13:26,13:45,1,0,3,0,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Cable,1,9:28,9:42,6,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Cable,2,9:51,10:06,1,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Fernando,1,11:03,11:27,5,0,1,0,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Fernando,2,11:35,12:00,2,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Purr,1,12:59,13:18,1,0,0,1,0,0,0,x,N/A,"4 5/8"""
2017-04-03,2017,Purr,2,13:23,13:40,1,0,0,0,0,0,0,x,N/A,"4 5/8"""
2017-04-12,2017,Cable,1,9:28,9:45,11,0,0,2,0,0,0,x,N/A,4  5/16
2017-04-12,2017,Cable,2,9:47,10:01,4,0,0,2,0,0,0,x,N/A,4  5/16
2017-04-12,2017,Fernando,1,11:21,11:41,9,0,0,0,0,0,0,x,N/A,4  5/16
2017-04-12,2017,Fernando,2,11:51,12:09,1,0,0,0,0,0,0,x,N/A,4  5/16
2017-04-12,2017,Purr,1,13:00,13:15,4,0,0,1,0,0,0,x,N/A,4  5/16
2017-04-12,2017,Purr,2,13:23,13:35,1,0,0,0,0,0,0,x,N/A,4 1/3
2017-04-18,2017,Cable,1,9:14,9:31,0,0,0,1,0,0,0,x,N/A, 4 5/8''
2017-04-18,2017,Cable,2,9:35,9:51,7,0,0,1,0,0,0,x,N/A, 4 5/8''
2017-04-18,2017,Fernando,1,10:45,11:04,2,0,1,0,0,0,0,x,N/A, 4 5/8''
2017-04-18,2017,Fernando,2,11:09,11:26,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-04-18,2017,Purr,1,12:09,12:27,3,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-04-18,2017,Purr,2,12:33,12:49,1,0,0,0,0,0,0,x,N/A,4 5/8
2017-04-25,2017,Cable,1,9:22,9:37,4,0,0,2,0,0,0,x,N/A, 4 5/8''
2017-04-25,2017,Cable,2,9:43,9:54,0,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-04-25,2017,Fernando,1,10:33,10:50,0,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-04-25,2017,Fernando,2,10:54,11:18,3,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-04-25,2017,Purr,1,11:55,12:11,4,0,0,2,0,0,0,x,N/A, 4 5/8''
2017-04-25,2017,Purr,2,12:17,12:30,0,0,0,4,0,0,0,x,N/A,4 5/8
2017-05-02,2017,Cable,1,12:17,12:32,5,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-05-02,2017,Cable,2,12:38,12:53,2,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-05-02,2017,Fernando,1,14:02,14:22,0,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-05-02,2017,Fernando,2,14:27,14:51,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2017-05-02,2017,Purr,1,15:11,15:31,0,0,0,1,0,0,0,x,N/A, 4 5/8''
2017-05-02,2017,Purr,2,15:42,16:02,0,0,0,0,0,0,0,x,N/A,4 5/8
2019-02-21,2019,Cable,1,10:28,10:44,1,0,2,0,0,0,0,x,N/A,
2019-02-21,2019,Cable,3,10:48,11:05,0,0,0,0,0,0,0,x,N/A,
2019-02-21,2019,Fernando,1,11:37,11:55,0,0,0,0,0,0,0,x,N/A,
2019-02-21,2019,Fernando,2,11:58,12:16,0,0,0,0,0,0,0,x,N/A,
2019-02-21,2019,Purr,1,12:34,12:58,1,0,3,0,0,0,0,x,N/A,
2019-02-21,2019,Purr,2,13:07,13:29,0,0,0,0,0,0,0,x,N/A,
2019-03-06,2019,Cable,1,7:56,8:12,5,0,1,0,0,0,0,x,N/A, 4 5/8''
2019-03-06,2019,Cable,2,8:17,8:30,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-06,2019,Fernando,1,9:14,9:37,5,0,3,0,0,0,0,x,N/A, 4 5/8''
2019-03-06,2019,Fernando,2,9:48,10:03,3,0,3,0,0,0,0,x,N/A, 4 5/8''
2019-03-06,2019,Purr,1,10:47,11:11,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-06,2019,Purr,2,11:18,11:37,2,0,2,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,N. Cable,1,8:59,9:22,10,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,N. Cable,2,9:28,9:48,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,Fernando,1,10:36,10:56,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,Fernando,2,11:19,11:43,3,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,Purr,1,12:07,12:33,2,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-13,2019,Purr,2,12:44,13:07,3,0,2,0,0,0,0,x,N/A, 4 5/8''
2019-03-21,2019,Cable,1,8:56,9:09,16,0,0,1,0,0,0,x,Engine problems. Continue tomorrow, 4 5/8''
2019-03-22,2019,Fernando,1,9:08,9:28,0,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-22,2019,Fernando,2,9:32,9:56,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-22,2019,Purr,1,10:16,10:35,4,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-22,2019,Purr,2,10:46,11:02,2,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Cable,1,9:50,10:08,4,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Cable,2,10:20,10:38,7,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Fernando,1,11:53,12:13,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Fernando,2,12:22,12:41,0,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Purr,1,12:55,13:14,3,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-03-27,2019,Purr,2,13:24,13:35,1,0,0,0,0,0,0,x,N/A, 4 5/8''
2019-04-04,2019,Cable,1,9:40,9:57,7,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-04,2019,Cable,2,10:08,10:26,1,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-04,2019,Fernando,1,11:27,11:37,0,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-04,2019,Fernando,2,11:52,12:17,1,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-04,2019,Purr,1,13:09,13:30,4,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-04,2019,Purr,2,13:40,13:59,0,0,0,0,0,0,0,x,none, 4 5/8''
2019-04-11,2019,Cable,1,9:25,9:39,6,0,0,0,0,0,0,x,none, 4 5/8''
