"","Estimate"
"193",70472.8916737036
"194",24987.4994971316
"195",23551.1532480157
"196",24525.2852852286
"197",18811.8996468124
"198",34081.9884220315
"199",23672.2233455683
"200",98186.684739351
"201",27348.1361991253
"202",66688.5001069927
"203",47360.9776562321
"204",6796.00169461377
"205",26508.4706819328
"206",36445.6875709742
"207",16156.8369525713
"208",31540.0890937977
"209",8371.05641943345
"210",29429.8119415443
"211",22062.0009819811
"212",38245.3706734302
"213",3318.76629586043
"214",55475.6607154933
"215",32412.7953280388
"216",56081.686079638
"217",15354.6804183321
"218",34385.3807741318
"219",89758.9153466381
"220",54584.2952836553
"221",42083.8612744784
"222",52674.7240718889
"223",35190.9975394596
"224",24445.6794882909
"225",67212.6951062378
"226",52470.357499742
"227",115418.025485273
"228",34752.2314808417
"229",33265.6629176629
"230",21038.6971951235
"231",12059.4217262263
"232",13203.9404286154
"233",29561.2073282666
"234",19219.7798412521
"235",13371.4342147033
"236",22910.2274483129
"237",14111.270279619
"238",5572.17312672402
"239",12295.0902285513
"240",12017.8780653308
"241",43800.9016020942
"242",28786.5024734609
"243",28087.0865165872
"244",21885.0706725531
"245",26379.6628888275
"246",39474.7936898031
"247",28293.9988271089
"248",60401.5438495576
"249",44322.0332656358
"250",26986.3883533483
"251",14807.4904923831
"252",20158.9097662568
"253",41183.2777742929
"254",19908.0815795412
"255",48622.375153522
"256",12835.449304421
"257",45274.3907100407
"258",24164.3764697186
"259",30294.1026085956
"260",37033.95435722
"261",8727.1599081084
"262",41888.4747143527
"263",22125.1213556057
"264",25176.291129677
"265",10205.0046101034
"266",40145.9553792349
"267",16082.9916541107
"268",15515.3515712908
"269",6578.21049256313
"270",41737.8339775466
"271",27612.7305953351
"272",19176.7042593854
"273",38544.7761019111
"274",19652.3944359878
"275",8388.24522517901
"276",34514.4751554396
"277",40849.3992956399
"278",15965.6208508519
"279",19087.3594004539
"280",30236.5846501109
"281",42625.4485182277
"282",55308.8089856045
"283",54129.4677333362
"284",44992.1750148201
"285",32326.1582429457
"286",28978.7136106271
"287",24115.1701681699
"288",13218.1980707207
"289",36279.0144301751
"290",15569.9655070076
"291",35712.4265212031
"292",37666.0973719188
"293",57216.2264574512
"294",23759.9784147479
"295",45916.788749648
"296",12676.3730545244
"297",20782.0778551298
"298",13313.6988149619
"299",21572.9497144009
"300",33676.7014184372
"301",135373.611552371
"302",84944.4386169775
"303",5868.79317959141
"304",16362.8717948838
"305",38701.7628164778
"306",23193.7481992589
"307",20253.9344125574
"308",50918.3119941023
"309",18634.2564576569
"310",74793.0179236627
"311",34827.8273740902
"312",6704.06700752352
"313",33896.8344953142
"314",24103.8381044635
"315",59286.4959976056
"316",23875.5940732211
"317",14541.8526753252
"318",38879.273040945
"319",5740.10327404757
"320",30191.6462270166
"321",61405.7611075485
"322",8823.01894689863
"323",426331.170444112
"324",77709.4213544336
"325",22379.7975156159
"326",8129.5424503704
"327",14141.037204025
"328",36369.0315837215
"329",55068.986420758
"330",7673.6101717036
"331",30404.611795182
"332",41285.3624607528
"333",14887.7240085116
"334",9705.56352228021
