ensemble_forecast_posterior_2017,ensemble_forecast_posterior_2019,ensemble_forecast_posterior_2020,ensemble_forecast_posterior_2022,ensemble_forecast_posterior_2023,ensemble_forecast_posterior_2024
9322.830478,7053.256326,8722.617469,3205.960352,3904.172645,2743.848624
7064.227457,6589.467116,5214.910004,4045.72988,4267.803434,2755.305185
7760.592353,6083.147468,6727.279556,3836.776209,5303.366288,2759.033701
8469.261637,7582.416249,5387.862254,4423.815938,5072.445278,2763.145986
9108.162215,6524.092185,5395.480018,3867.409067,7284.495791,2766.260252
8679.711198,6742.245211,4697.995655,3965.257067,5105.37581,2768.818028
8470.406421,6355.501627,5440.716993,5228.542881,6148.090628,2773.868828
10701.39696,7621.973371,4923.860051,4104.304701,5628.970037,2777.431022
9996.063105,7521.899175,5678.74104,4238.067129,4024.939931,2780.761561
10244.16719,6140.961406,7439.229454,4500.14472,5344.098707,2782.864549
8714.129924,5714.058943,4336.730702,5261.985396,4537.627672,2792.299054
7183.347295,6731.578859,5062.277375,4691.664348,4669.12218,2802.854144
7104.946327,5980.509679,5471.341632,4850.897764,4354.350706,2809.670258
9409.836675,7693.653789,4446.781472,4664.568814,4395.340901,2810.58706
7938.530728,7092.208429,5341.682249,4326.485779,4705.491165,2817.471285
7886.524702,6845.958535,5016.421197,3362.880703,6261.966959,2822.17142
8080.914529,6121.627077,6555.057849,4068.332137,4353.281118,2825.198327
8126.065406,5675.745406,5432.603852,4068.783532,5287.120824,2828.412421
9884.317861,7834.177537,5141.388576,3836.313427,4583.671322,2833.709674
13039.70421,9121.824322,6491.953113,3995.737676,4898.908078,2838.092277
8775.769205,6370.48177,4409.672854,4388.241834,4643.273072,2842.653564
8866.465264,10120.19716,4314.81585,4013.615876,6183.837824,2845.740863
6593.886181,9464.710229,4594.265596,5104.706179,4562.465594,2851.652693
9239.864922,5981.257939,4434.521606,4330.440455,4598.166601,2855.361545
8184.471719,7182.608662,5205.763629,3734.955909,4746.337336,2859.270515
10204.28191,9114.68058,5307.023623,3177.560742,7009.288021,2861.347181
9158.295145,6995.316004,5899.723436,4087.974381,5033.077581,2865.068215
8539.360013,7545.640344,6487.859245,3490.205642,3735.660001,2866.972174
7144.689941,6133.247627,5853.294673,4294.627094,6403.823153,2869.378654
9533.323722,4834.665868,5491.410658,6763.40288,5057.722567,2870.902081
7288.224243,6681.079471,4947.91849,3915.336613,5020.444884,2874.715285
7788.790753,6928.227964,5453.930011,4362.188786,5149.942028,2878.369458
8195.677931,5452.969192,5304.967573,4323.922269,6866.707922,2882.052337
8306.553506,6336.910729,6985.536159,5380.54416,4666.424166,2883.206944
6307.885284,6668.271081,6264.804072,4194.345247,4312.819753,2886.884729
9475.542856,8313.412617,4922.204506,4585.556369,5668.61555,2891.949461
9313.222186,9225.553668,6267.982574,3544.610572,5892.883541,2895.096865
9468.558675,7848.235654,5413.256336,3747.809085,5450.978678,2897.733329
9008.165785,6235.814849,7313.077418,3666.890438,4455.043348,2900.588284
10864.03494,7459.627644,6230.764688,4934.448389,6604.562802,2903.139114
8125.75882,7168.215264,4188.640226,3051.344726,5497.228136,2906.437242
9772.323861,8044.7759,5115.180869,3736.795088,6197.949805,2908.518921
9130.539321,6086.395396,5186.461806,4752.541637,6155.068925,2910.983854
8412.231028,5768.274674,5262.488653,3908.466338,5741.112217,2914.046175
8926.450706,6825.338036,6632.43261,2914.909003,5502.383064,2917.35213
7186.883173,6599.49657,6798.997271,4587.649142,5091.557167,2919.497558
8128.632029,6993.832447,5514.351925,4159.946056,4510.64043,2924.898206
8876.967211,5267.486889,4429.120604,3508.574878,6185.715868,2926.883768
6946.257227,5083.616061,6375.006252,4951.485343,4673.021137,2928.166561
7627.35156,8577.435906,4756.030168,3403.6539,5823.403528,2930.850139
9566.347711,7177.70077,4672.151702,5208.275021,5197.224501,2933.813963
7951.120096,6670.87659,5448.24334,3226.378686,4860.448534,2938.185594
7627.870452,8916.085104,5665.554401,3875.393693,4418.308964,2941.955451
8987.726065,5418.407862,5574.191503,3306.049904,6180.488103,2944.366922
7841.718791,8155.244469,5204.689707,3495.666681,6734.124548,2947.106291
7483.106424,6662.527876,5670.023033,4026.686276,6149.369989,2949.218049
9085.593402,7074.186025,6551.636089,3819.323093,7189.459534,2951.591902
8733.462687,6595.835191,6577.732988,4861.447926,6810.377181,2953.626824
7954.378852,6791.506574,5908.523563,3288.432755,6163.960436,2958.291415
10545.9878,5380.484897,6503.849148,3314.573898,6483.579821,2960.041041
7946.39651,7886.002163,5357.808191,4464.198629,5626.075404,2961.760138
8256.411015,6157.081064,5861.080693,4868.123755,4159.714392,2965.134865
10533.52018,7053.502971,6540.379178,3528.017663,5275.976524,2970.065427
8465.358003,6536.262872,6413.723896,5151.372761,4172.197645,2973.564126
8931.737173,9661.396128,4386.154122,4190.602798,5494.098069,2978.226102
8867.471672,6485.258485,5529.132004,4931.318651,6422.740258,2980.266518
8217.93748,6679.873395,5725.456306,3677.905491,5066.842628,2982.562841
9641.767521,6668.617766,6396.265067,3177.527868,6412.381109,2984.197387
9728.102514,6969.845738,4639.124344,5883.848231,8331.826614,2986.750549
8905.085662,6402.471243,4786.429484,3538.810709,5964.285981,2989.647065
7161.666877,6081.139613,4468.410364,4630.771548,4845.868207,2992.752222
7597.367735,6577.130597,5545.537304,3841.860337,5367.340574,2997.76589
9146.159431,6593.870751,4871.780403,3359.46431,4521.040107,3000.9424
7464.28073,6468.70864,5006.173602,5010.643915,4972.873843,3002.649573
6029.340266,6946.696706,5080.309779,4872.36791,5944.993095,3004.739524
10370.76538,5798.92267,5778.78319,3396.220181,6466.912019,3008.823138
6142.549941,6438.461433,6033.159012,3513.545694,5115.238996,3012.313986
8264.460901,7110.118386,5416.573537,3844.694782,5029.568063,3015.752787
7059.251901,5914.707299,6139.35545,3454.46734,5560.318716,3016.849437
10344.29374,7919.936899,6273.795673,3447.742883,6382.820493,3021.609303
11146.87369,7630.370568,5197.961652,3564.978233,5520.600801,3023.7644
9675.005032,7094.173291,4803.80714,3456.08449,8340.4288,3027.933634
8619.167274,6497.365534,5563.073004,3161.863857,5542.254534,3032.058274
7219.032374,7971.086205,6703.125447,4304.797461,6297.950912,3037.471064
10599.28822,5677.587956,4741.33373,4369.375732,4691.246716,3042.142858
8158.677849,8506.709028,4719.742251,4153.806307,5147.297,3045.585591
6581.115849,8113.383952,5356.827468,3578.489053,5492.64261,3049.63073
8849.520373,5451.12437,4861.393344,4033.371868,6379.290871,3052.596285
7533.898746,5745.81445,5679.724643,5159.773732,5870.608321,3055.532589
7087.856213,7662.186662,5256.726736,3682.970314,4406.814664,3057.45734
9068.613366,7330.381086,5034.527252,5202.831132,5591.040332,3058.827678
9463.841098,6080.691558,5469.097977,4427.617985,4820.659848,3060.529661
8299.801532,8409.79578,5221.562789,4060.374368,6217.730649,3065.923268
6667.479642,6947.968035,5531.121819,4604.765148,5419.903014,3071.029018
7644.271453,7895.707171,5122.615855,3562.689172,5083.960556,3073.090366
8246.202656,5113.293933,5413.587503,4198.965649,7350.096516,3074.892161
8937.768373,6216.631891,4832.562281,3924.566634,5317.663932,3076.132055
